id dam sire
8857210 8681054 8168709
8857213 8747799 8681052
8857215 8800424 8747551
8857220 8732293 8747220
8857223 F0168 8800434
8857226 NA NA
8857230 8800511 M0131
8857231 F0169 8747729
8857232 F0115 8730584
8857233 8857232 8794301
8857237 8800018 M0171
8857243 8747517 M0120
8857246 NA NA
8857249 8681419 8800395
8857252 8857202 8681251
8857273 NA NA
8857274 8747548 8800102
8857275 8732254 8747551
8857276 8732254 8747551
8857277 NA NA
8857278 8747548 8800102
8857279 8747548 8800102
8857281 8747553 8747552
8857284 NA NA
8857285 8800489 8800102
8857401 8800375 8732565
8857404 8800375 8800497
8857405 F0005 M0004
8857407 NA NA
8857415 F0065 8681462
8857416 F0065 8168702
8857724 8800568 8573572
8857730 8800066 8800478
8857739 8747982 8800042
8857740 8747725 8800547
8857748 8857202 8681251
8857752 8168614 8651665
8857754 8747722 M0082
8857767 8800592 8747726
8857778 8800094 8887421
8857780 8800094 8887421
8857946 8800045 8800614
8866704 8800417 8866754
8866710 F0084 8747259
8866716 8747604 8800371
8866718 8857401 M0138
8866720 8857401 M0138
8866730 8800416 8887341
8866741 8681054 8168709
8866745 8747781 8747809
8866750 8681419 8747410
8866751 F0113 M0119
8866752 8747229 8732646
8866754 8747222 8681095
8866766 8537728 8800615
8866773 8800104 8747552
8866783 8747900 8747729
8866786 8800077 8800547
8866789 8800077 8800547
8866790 8800519 8747729
8866791 F0043 M0042
8866792 8732690 8730584
8866795 8857226 8651665
8866799 8857226 8651665
8866800 8747758 8747408
8887035 NA M0160
8887037 NA NA
8887130 F0021 M0019
8887205 8681054 8168709
8887206 8681054 8168709
8887207 F0213 8732695
8887210 8857208 8747941
8887211 8857208 8747941
8887220 8800066 8800477
8887226 8747722 M0082
8887230 8732690 8730584
8887232 8747554 8681403
8887233 8747554 8681403
8887238 NA NA
8887240 F0024 M0022
8887241 NA NA
8887245 NA NA
8887249 8800592 8747749
8887262 8800104 8747552
8887264 8800937 8857215
8887266 8857275 8800321
8887267 F0020 M0018
8887277 8857205 M0084
8887278 8732690 8730584
8887279 8732690 8730584
8887281 8747760 8866751
8887283 8800468 8866791
8887286 8732690 8730584
8887290 8732687 8747720
8887291 8800521 8800357
8887310 8800574 8747979
8887311 8800574 M0172
8887315 8800521 8800357
8887316 8857226 8168612
8887318 F0137 M0145
8887319 8887316 8800091
8887324 8800196 8800179
8887335 8857202 8681251
8887341 8730579 NA
8887342 8800417 8747720
8887344 8800038 8747520
8887345 8800038 8857207
8887346 8800038 8857207
8887349 8857407 8800615
8887352 8857407 8800615
8887353 8800372 NA
8887354 8794305 8747948
8887356 8732254 8800495
8887357 8800490 8747552
8887358 8747548 8800495
8887360 8800489 8800529
8887368 8800550 8857405
8887370 8800550 8800614
8887373 8857401 M0138
8887379 8747604 8800371
8887385 F0006 M0005
8887396 8800936 8747551
8887399 8857279 8800529
8887406 8800490 8747552
8887408 8800177 8800181
8887411 NA NA
8887414 F0168 NA
8887416 F0045 M0045
8887421 8800185 8732552
8887422 F0021 M0019
8887423 F0021 M0019
8887439 8800468 8747561
8887440 8800519 M0161
8887445 8800521 8800510
8887448 8747534 8800046
8887449 8732687 M0131
8887450 8800467 NA
8887451 8732687 M0131
8887452 8732687 8747720
8887453 8800468 8730584
8887455 NA 8800370
8887458 NA NA
8887460 F0024 M0022
