ringnr natal.island adult.island disp hatch.year gen_sex
8887399 38 38 0 2002 0
8887406 38 38 0 2002 1
8887490 38 38 0 2002 1
8943014 88 38 1 2002 1
8857752 28 28 0 2002 0
8857780 28 28 0 2002 1
8866710 28 28 0 2002 0
8866741 26 28 1 2002 1
8866795 28 28 0 2002 0
8866799 28 28 0 2002 0
8887267 28 28 0 2002 0
8887318 28 28 0 2002 0
8887319 28 28 0 2002 0
8887324 28 28 0 2002 0
8887408 28 28 0 2002 0
8887481 20 28 1 2002 0
8887484 28 28 0 2002 0
8934354 27 28 1 2002 1
8934355 27 28 1 2002 1
8934801 28 28 0 2002 0
8934805 28 28 0 2002 1
8943064 28 28 0 2002 1
8943168 28 28 0 2002 0
8857724 26 27 1 2002 0
8857730 26 27 1 2002 1
8857740 27 27 0 2002 0
8857748 26 27 1 2002 0
8857754 27 27 0 2002 1
8857767 27 27 0 2002 0
8857778 28 27 1 2002 0
8866704 27 27 0 2002 0
8866716 26 27 1 2002 1
8866766 27 27 0 2002 1
8866783 27 27 0 2002 1
8866786 27 27 0 2002 0
8866789 27 27 0 2002 1
8866792 27 27 0 2002 1
8887226 27 27 0 2002 0
8887230 27 27 0 2002 1
8887232 27 27 0 2002 0
8887233 27 27 0 2002 0
8887249 27 27 0 2002 0
8887277 27 27 0 2002 1
8887278 27 27 0 2002 0
8887279 27 27 0 2002 0
8887281 27 27 0 2002 0
8887283 27 27 0 2002 1
8887286 27 27 0 2002 1
8887290 27 27 0 2002 1
8887310 27 27 0 2002 1
8887342 27 27 0 2002 0
8887344 27 27 0 2002 0
8887345 27 27 0 2002 0
8887346 27 27 0 2002 0
8887349 27 27 0 2002 0
8887352 27 27 0 2002 0
8887353 26 27 1 2002 0
8887354 26 27 1 2002 1
8887368 27 27 0 2002 1
8887370 27 27 0 2002 1
8887414 28 27 1 2002 1
8887439 27 27 0 2002 1
8887440 27 27 0 2002 0
8887448 27 27 0 2002 0
8887449 27 27 0 2002 0
8887450 332 27 1 2002 1
8887451 27 27 0 2002 1
8887452 27 27 0 2002 1
8887453 27 27 0 2002 1
8887486 27 27 0 2002 1
8887488 27 27 0 2002 0
8934301 27 27 0 2002 1
8934302 27 27 0 2002 1
8934311 27 27 0 2002 1
8934313 27 27 0 2002 1
8934373 27 27 0 2002 1
8934375 27 27 0 2002 0
8934376 27 27 0 2002 1
8943121 27 27 0 2002 0
8857739 26 26 0 2002 1
8866718 26 26 0 2002 1
8866745 26 26 0 2002 0
8887205 26 26 0 2002 1
8887206 26 26 0 2002 1
8887210 26 26 0 2002 0
8887211 26 26 0 2002 1
8887220 26 26 0 2002 0
8887335 26 26 0 2002 0
8887373 26 26 0 2002 0
8887379 26 26 0 2002 0
8887472 26 26 0 2002 1
8887474 26 26 0 2002 1
8887475 26 26 0 2002 1
8887477 26 26 0 2002 0
8934380 28 26 1 2002 1
8934458 26 26 0 2002 1
8934459 26 26 0 2002 0
8934460 26 26 0 2002 0
8943039 28 26 1 2002 1
8943080 28 26 1 2002 1
8943082 27 26 1 2002 0
8943083 26 26 0 2002 1
8943129 26 26 0 2002 1
8866750 20 20 0 2002 0
8887478 27 20 1 2002 0
8934899 20 20 0 2002 1
8943135 20 20 0 2002 1
8943141 20 20 0 2002 0
8943142 88 20 1 2002 1
8857946 27 24 1 2002 0
8887035 23 23 0 2002 0
8887238 22 22 0 2002 0
8887240 22 22 0 2002 0
8887241 22 22 0 2002 0
8887245 22 22 0 2002 0
8887291 27 24 1 2002 1
8887422 24 24 0 2002 1
8887423 24 24 0 2002 0
8887455 22 22 0 2002 0
8887460 88 22 0 2002 0
8887462 88 22 0 2002 0
8904654 88 23 0 2002 1
8934471 88 24 0 2002 1
8934472 88 24 0 2002 1
8934473 88 24 0 2002 0
8934474 88 24 0 2002 1
8934475 88 24 0 2002 1
8934875 88 24 0 2002 1
8934227 38 38 0 2003 0
8934228 38 38 0 2003 0
8934338 38 38 0 2003 0
8934339 38 38 0 2003 0
8934343 38 38 0 2003 0
8934532 38 38 0 2003 0
8934534 38 38 0 2003 1
8934537 38 38 0 2003 0
8934596 38 38 0 2003 0
8939118 38 38 0 2003 1
8943012 38 38 0 2003 0
8943013 38 38 0 2003 1
8943066 38 38 0 2003 1
8943067 38 38 0 2003 1
8943103 38 38 0 2003 1
8943105 38 38 0 2003 1
8943106 38 38 0 2003 1
8943109 38 38 0 2003 1
8943110 38 38 0 2003 0
8943801 38 38 0 2003 0
8943802 38 38 0 2003 0
8943803 38 38 0 2003 1
8934028 28 28 0 2003 1
8934033 28 28 0 2003 1
8934333 28 28 0 2003 0
8934489 28 28 0 2003 1
8939163 26 28 1 2003 1
8939164 28 28 0 2003 1
8939615 27 28 1 2003 1
8939705 28 28 0 2003 1
8943736 28 28 0 2003 0
8943836 28 28 0 2003 0
8943837 28 28 0 2003 1
8934058 27 27 0 2003 0
8934059 27 27 0 2003 0
8934062 27 27 0 2003 1
8934064 27 27 0 2003 1
8934066 27 27 0 2003 1
8934069 27 27 0 2003 0
8934072 27 27 0 2003 0
8934077 26 27 1 2003 1
8934089 27 27 0 2003 0
8934090 27 27 0 2003 0
8934304 27 27 0 2003 1
8934329 28 27 1 2003 0
8934363 27 27 0 2003 0
8934364 27 27 0 2003 1
8934367 27 27 0 2003 0
8934368 27 27 0 2003 0
8934369 27 27 0 2003 0
8934374 27 27 0 2003 1
8934542 27 27 0 2003 1
8934547 27 27 0 2003 0
8934893 27 27 0 2003 1
8934895 27 27 0 2003 1
8939024 27 27 0 2003 1
8939052 38 27 1 2003 1
8939181 27 27 0 2003 1
8939196 20 27 1 2003 0
8939352 26 27 1 2003 1
8939603 26 27 1 2003 1
8939607 27 27 0 2003 0
8939619 27 27 0 2003 0
8939629 27 27 0 2003 0
8943009 27 27 0 2003 0
8943023 27 27 0 2003 1
8943024 27 27 0 2003 1
8943025 27 27 0 2003 0
8943043 28 27 1 2003 0
8943125 27 27 0 2003 1
8943485 38 27 1 2003 0
8943486 27 27 0 2003 0
8943735 27 27 1 2003 1
8943737 26 27 1 2003 1
8943743 28 27 1 2003 0
8943892 27 27 0 2003 0
8943894 27 27 0 2003 1
8934027 28 26 1 2003 0
8934095 26 26 0 2003 0
8934217 26 26 0 2003 1
8934219 26 26 0 2003 1
8934224 26 26 0 2003 1
8934225 26 26 0 2003 0
8934497 26 26 0 2003 0
8934498 26 26 0 2003 0
8934499 26 26 0 2003 0
8934501 26 26 0 2003 0
8934559 26 26 0 2003 0
8934565 26 26 0 2003 0
8934600 26 26 0 2003 0
8934854 26 26 0 2003 1
8934855 26 26 0 2003 0
8939122 27 26 1 2003 0
8939431 26 26 0 2003 1
8943733 20 26 1 2003 1
8934326 28 20 1 2003 0
8939491 20 20 0 2003 0
8939492 26 20 1 2003 1
8939494 20 20 0 2003 1
8943752 27 20 1 2003 0
8943829 27 20 1 2003 1
8904657 23 23 0 2003 1
8904661 23 23 0 2003 1
8904683 26 24 1 2003 1
8934039 22 24 1 2003 1
8934040 22 22 0 2003 1
8934214 24 24 0 2003 0
8934215 24 24 0 2003 1
8934231 27 24 1 2003 0
8934236 24 23 1 2003 1
8934385 23 23 0 2003 0
8934386 23 23 0 2003 0
8934392 23 23 0 2003 1
8934393 23 23 0 2003 0
8934395 24 24 0 2003 0
8934398 24 24 0 2003 0
8934399 24 23 1 2003 1
8934400 24 22 1 2003 1
8934451 23 22 1 2003 1
8934462 24 24 0 2003 1
8934481 23 23 0 2003 1
8934484 23 23 0 2003 0
8934514 27 23 1 2003 0
8934588 24 24 0 2003 0
8934808 24 24 0 2003 0
