ringnr,hatchyear,lastyear,firstisland,lastisland,HelgelandSNPisland
8414342,1992,1993,20,20,1
8414343,1992,1993,20,20,1
8414344,1992,1993,20,20,1
8414345,1992,1994,20,20,1
8414346,1992,1995,27,27,1
8414347,1992,1997,27,27,1
8414348,1992,1993,27,27,1
8414349,1992,1993,20,20,1
8414501,1992,1998,20,20,1
8414502,1992,1992,20,20,1
8414503,1991,1992,20,20,1
8414504,1992,1992,20,20,1
8414505,1991,1994,20,20,1
8414506,1991,1992,20,20,1
8414507,1992,1992,20,20,1
8414508,1991,1993,20,20,1
8414509,1992,1994,20,20,1
8414510,1992,1992,20,20,1
8414511,1992,1992,20,20,1
8414512,1992,1999,20,20,1
8414513,1992,1992,20,20,1
8414514,1992,1992,22,22,1
8414515,1992,1992,22,22,1
8414517,1991,1995,22,22,1
8414518,1992,1992,22,22,1
8414519,1992,1992,22,22,1
8414520,1991,1995,23,23,1
8414521,1991,1992,23,23,1
8414522,1991,1995,23,23,1
8414523,1991,1995,23,23,1
8414524,1992,1994,23,23,1
8414525,1991,1992,23,23,1
8414526,1991,1993,23,23,1
8414527,1992,1998,23,23,1
8414528,1992,1994,23,23,1
8414529,1991,1997,23,23,1
8414530,1992,1994,23,23,1
8414531,1992,1992,23,23,1
8414532,1992,1992,23,23,1
8414533,1991,1993,24,24,1
8414534,1991,1993,24,24,1
8414535,1992,1994,24,24,1
8414536,1991,1996,24,24,1
8414537,1992,1992,24,24,1
8414538,1992,1992,24,24,1
8414539,1992,1996,24,24,1
8414540,1991,1994,24,24,1
8414541,1992,1995,24,24,1
8414542,1992,1993,24,24,1
8414543,1991,1996,24,24,1
8414544,1992,1993,24,24,1
8414545,1992,1994,24,24,1
8414546,1992,1992,24,24,1
8414547,1992,1992,24,24,1
8414548,1993,1993,23,23,1
8414549,1993,1993,23,23,1
8414550,1993,1993,23,23,1
8414551,1993,1993,23,23,1
8414552,1992,1994,23,23,1
8414553,1992,1996,23,23,1
8414554,1992,1995,23,23,1
8414555,1992,1995,23,23,1
8414556,1992,1994,23,23,1
8414557,1992,1994,23,23,1
8414558,1992,1995,23,23,1
8414559,1992,1993,23,23,1
8414560,1992,1993,23,23,1
8414561,1992,1993,25,25, 
8414562,1992,1996,28,28,1
8414563,1992,1994,28,28,1
8414564,1992,1997,28,28,1
8414565,1992,1994,28,28,1
8414566,1992,1995,28,28,1
