ID,ringnr,indnr,sex,island_current,adultSNPisland,hatchisland,hatchyear,year,month,day,age,tarsus,wing,billD,billL,mass,totalbadge,visiblebadge
1333,8981715,929,1,38,38,38,2004,2005,7,28,1,20.47,79.57,8.4,14,33.2,18.3512942322878,15.5650248955792
1334,8981720,930,2,26,26,26,2004,2005,6,9,1,17.86,77.59,7.83,13.46,33.1,-99,-99
1335,8981722,931,1,28,28,28,2004,2005,6,10,1,19.65,81.59,8.13,13.56,32.3,19.9379036009306,16.7352920500361
1336,8981723,932,1,27,27,27,2004,2005,6,12,1,19.76,80.59,8.53,13.86,34.6,18.3144751494549,16.0770022081233
1336,8981723,932,1,27,27,27,2004,2005,6,12,1,19.65,80,8.4,13.8,34.6,18.4978377114732,15.680242345066
1337,8981733,933,2,27,27,27,2004,2005,6,18,1,20.17,81.43,8.15,14.01,34.2,-99,-99
1338,8981734,934,2,38,38,38,2004,2005,6,20,1,19.77,79.57,8.5,14.4,32.8,-99,-99
1338,8981734,934,2,38,38,38,2004,2006,5,20,2,19.43,79.92,8.83,13.68,29.8,-99,-99
1341,8981741,935,2,26,26,26,2004,2005,6,22,1,18.62,81.59,8.23,13.96,31.4,-99,-99
1343,8981773,936,1,26,26,26,2005,2006,6,27,1,20.95,80.92,8.49,13.85,31.5,18.2282747400844,16.5731710906513
1343,8981773,936,1,26,26,26,2005,2007,5,7,2,20.7,82,8.5,13.48,32,19.5043584872715,18.1416647527177
1343,8981773,936,1,26,26,26,2005,2007,5,31,2,20.75,81.86,8.28,13.77,32.2,20.2403063217927,16.1607549328613
1343,8981773,936,1,26,26,26,2005,2008,8,13,3,20.68,84.43,8.73,13.6,31.4,20.8966504492945,18.8353391262276
1343,8981773,936,1,26,26,26,2005,2010,8,2,5,20.75,83,8.66,14.07,32.5,20.8966504492945,17.9421291936046
1344,8981774,937,2,26,26,26,2005,2006,7,4,1,20.25,80.92,8.22,14.27,32,-99,-99
1344,8981774,937,2,26,26,26,2005,2006,7,13,1,20.23,80.86,8.32,14.67,31.8,-99,-99
1348,8981792,938,1,28,28,28,2005,2006,7,14,1,20.41,81.92,8.32,14.67,32.5,18.5099972987572,14.8701042363529
1349,8981801,939,2,27,27,27,2004,2005,6,7,1,19.72,80,8,13.6,29.5,-99,-99
1349,8981801,939,2,27,27,27,2004,2005,6,10,1,19.66,80,7.9,13.9,-99,-99,-99
1350,8981802,940,2,27,27,27,2004,2005,6,7,1,20.42,77,8.2,13.6,36,-99,-99
1351,8981803,941,2,28,28,28,2004,2005,7,8,1,20.2,77,7.9,13.8,36,-99,-99
1351,8981803,941,2,28,28,28,2004,2005,8,6,1,20.26,-99,8.2,14.9,-99,-99,-99
1351,8981803,941,2,28,28,28,2004,2005,8,10,1,20.03,76.7,8.36,13.99,32.1,-99,-99
1351,8981803,941,2,28,28,28,2004,2006,5,13,2,20.15,78,7.97,13.63,37.7,-99,-99
1351,8981803,941,2,28,28,28,2004,2006,7,1,2,20.21,76.92,8.22,13.89,33,-99,-99
1352,8981804,942,1,27,27,27,2004,2005,7,8,1,20.29,80,8.2,14.3,30.5,19.7109106841871,16.3545100813201
1353,8981805,943,1,26,26,26,2005,2006,7,13,1,19.81,80.92,8.17,13.36,31.4,18.8114326939763,14.6720823334658
1354,8981806,944,1,27,27,27,2004,2005,6,11,1,19.65,82.57,8.1,14.2,31.8,21.7616635393529,20.5382569854406
1354,8981806,944,1,27,27,27,2004,2005,6,11,1,19.6,82.43,8.25,13.91,31.8,21.365158553121,19.0609548554106
1354,8981806,944,1,27,27,27,2004,2005,6,11,1,19.6,81,8,13.8,31.8,20.9933322747962,18.7874958416496
1354,8981806,944,1,27,27,27,2004,2006,5,14,2,19.56,82.48,8.16,13.98,34,21.9469815692272,17.8289091085237
1354,8981806,944,1,27,27,27,2004,2006,5,14,2,19.58,82,8.01,13.81,34,20.6801837516014,17.6768209811606
1354,8981806,944,1,27,27,27,2004,2006,5,14,2,19.53,81.92,7.9,13.83,34,22.2018017286886,19.6079065685249
1354,8981806,944,1,27,27,27,2004,2007,5,30,3,19.58,82.86,8.14,13.63,31.5,20.7670411951245,16.1607549328613
1354,8981806,944,1,27,27,27,2004,2008,7,29,4,19.76,81.03,8.41,13.81,32.9,22.9492919280748,20.3068953806336
1355,8981807,945,2,27,27,27,2004,2005,6,11,1,20.72,82,8.1,14.2,-99,-99,-99
1355,8981807,945,2,27,27,27,2004,2006,5,25,2,20.7,83.43,8.36,15.37,33,-99,-99
1356,8981820,946,2,27,27,27,2005,2006,7,12,1,19.77,76,8.43,13.48,29.8,-99,-99
1356,8981820,946,2,27,27,27,2005,2006,8,7,1,19.95,76.7,8.56,13.59,34.8,-99,-99
1356,8981820,946,2,27,27,27,2005,2007,6,19,2,-99,77.03,8.56,14,30.2,-99,-99
1356,8981820,946,2,27,27,27,2005,2007,6,19,2,19.4,77,8.58,13.98,30.2,-99,-99
1356,8981820,946,2,27,27,27,2005,2007,6,19,2,-99,77.07,8.34,14.27,-99,-99,-99
1358,8981822,947,1,27,27,27,2004,2005,6,13,1,17.8,79.59,8.23,13.26,29.1,17.7530279107537,14.2362214087868
1358,8981822,947,1,27,27,27,2004,2006,6,26,2,18.08,79.48,8.51,13.48,29.2,18.8114326939763,16.5459964946207
1358,8981822,947,1,27,27,27,2004,2006,7,24,2,18.36,81,8.5,14.81,30.7,19.318902660348,15.3905815354716
1358,8981822,947,1,27,27,27,2004,2006,7,26,2,18.24,77,8.7,14.31,30,19.2839311344964,15.9505485799078
1358,8981822,947,1,27,27,27,2004,2007,6,20,3,18.14,-99,8.9,13.8,33.5,18.9187737446168,15.1993420910249
1358,8981822,947,1,27,27,27,2004,2007,6,20,3,18,-99,8.75,13.57,-99,18.2282747400844,14.8701042363529
1358,8981822,947,1,27,27,27,2004,2007,6,20,3,17.97,79,8.8,13.89,-99,19.0018420159731,16.3545100813201
1358,8981822,947,1,27,27,27,2004,2007,7,12,3,17.82,79.86,8.71,13.89,28.2,19.9379036009306,16.1607549328613
1359,8981823,948,1,27,27,27,2004,2005,6,13,1,20.32,80.59,8.53,13.86,34.2,20.5382569854406,18.7155015962704
1360,8981824,949,2,27,27,27,2004,2005,6,13,1,19,80.59,8.23,13.66,38.5,-99,-99
1360,8981824,949,2,27,27,27,2004,2006,7,26,2,18.98,79,8.4,14.51,30,-99,-99
1362,8981850,950,1,28,28,28,2004,2005,6,17,1,18.71,80.43,7.95,12.81,33.7,20.1511786255792,17.0020586988753
1362,8981850,950,1,28,28,28,2004,2006,7,12,2,18.72,80.86,8.09,13.31,32.7,19.6308430791956,18.0296977234783
1363,8981856,951,1,27,27,27,2004,2005,6,18,1,20.62,85.57,8.7,15.4,30.3,18.1292581205079,15.2141381615917
1364,8981857,952,2,27,27,27,2004,2005,6,18,1,20.51,75.43,8.15,15.31,37,-99,-99
1365,8981858,953,1,27,27,27,2004,2005,6,19,1,19.59,80.43,8.15,14.31,33.3,19.6308430791956,15.2141381615917
1366,8981861,954,2,26,26,34,2005,2007,5,31,2,19.91,80.86,8.09,13.56,32.8,-99,-99
1366,8981861,954,2,26,26,34,2005,2008,6,16,3,20.08,80.03,7.88,13.9,32.1,-99,-99
1369,8981873,955,2,23,23,23,2005,2006,5,9,1,19.1,77,7.37,12.7,34,-99,-99
1369,8981873,955,2,23,23,23,2005,2006,5,26,1,18.98,78.48,7.5,12.68,30.3,-99,-99
1372,8981919,956,1,28,28,28,2005,2006,7,12,1,19.25,76.86,7.99,13.87,29.6,19.7223223784624,17.8289091085237
1372,8981919,956,1,28,28,28,2005,2006,7,25,1,19.39,80,8.1,14.31,29.6,20.5382569854406,17.2124954611468
1373,8981920,957,1,23,28,23,2004,2005,7,15,1,18.4,77.59,8.93,13.86,30,19.7906543600761,17.3686499187473
1373,8981920,957,1,28,28,23,2004,2005,8,6,1,18.81,77.57,8.7,14.2,28.8,21.0682225163871,18.1292581205079
1373,8981920,957,1,28,28,23,2004,2005,8,10,1,18.37,78.7,8.46,13.99,29.7,20.3622199182702,16.5459964946207
1374,8981923,958,2,23,23,23,2004,2005,7,18,1,19.48,76,7.9,13.81,30.8,-99,-99
1375,8981927,959,2,23,23,23,2004,2005,7,18,1,18.3,78,8.1,15.11,32,-99,-99
1376,8981928,960,1,23,23,23,2004,2005,7,18,1,19.3,77,7.7,13.31,31.5,20.5382569854406,16.7889844838811
1377,8981929,961,1,24,23,23,2005,2011,5,23,5,19.2,81.03,8.31,13.15,30.5,18.6190762391693,14.7027208366343
1380,8981942,962,2,23,23,23,2004,2005,7,24,1,19.4,75,7.8,14.01,29.9,-99,-99
1381,8981944,963,2,23,23,23,2004,2005,7,24,1,20,76,7.8,13.11,30.1,-99,-99
1381,8981944,963,2,23,23,23,2004,2005,7,25,1,20.02,76,7.8,13.21,31,-99,-99
1381,8981944,963,2,23,23,23,2004,2005,7,27,1,20.06,77,7.8,13.21,30.7,-99,-99
1382,8981945,964,2,23,23,23,2004,2005,7,24,1,19.2,77,8.3,14.11,28.8,-99,-99
1382,8981945,964,2,23,23,23,2004,2006,7,26,2,19.07,79.48,8.05,14.45,30.4,-99,-99
1382,8981945,964,2,23,23,23,2004,2009,7,2,5,19.35,78.07,8.33,14.2,29.5,-99,-99
1383,8981955,965,2,24,23,23,2005,2006,5,24,1,18.32,78.48,8.3,12.9,32.2,-99,-99
1385,8981962,966,2,23,23,23,2005,2006,6,9,1,18.95,74.85,7.76,13.45,26.3,-99,-99
1386,8981965,967,2,23,23,23,2004,2005,7,25,1,19.85,79,8.3,14.41,31.5,-99,-99
1389,8981971,968,2,23,23,23,2004,2005,7,27,1,20.09,78,8.2,13.31,32.8,-99,-99
1390,8981972,969,2,23,23,23,2004,2005,7,27,1,18.86,74,7.8,14.61,30.3,-99,-99
1392,8L19505,970,2,24,24,24,2006,2007,6,24,1,19.46,80.07,8.68,13.42,39.5,-99,-99
1393,8L19506,971,1,24,24,24,2007,2008,7,23,1,20.15,82.07,8.3,12.69,34.5,19.9379036009306,17.9044687159379
1395,8L19540,972,1,24,24,24,2007,2008,7,23,1,19.85,81.07,8.44,13.92,31.9,20.0167429918056,17.4462030253004
1398,8L19568,973,2,24,24,24,2007,2008,7,31,1,20.72,78.29,8.7,14.11,31,-99,-99
1399,8L19569,974,1,24,24,24,2007,2009,6,18,2,20.06,80.85,8.06,14.05,32.7,18.8114326939763,15.9646484458631
1401,8L19595,975,1,24,24,24,2007,2008,6,26,1,19.45,80.07,8.14,13.25,31.7,20.0167429918056,17.5618905588208
1401,8L19595,975,1,24,24,24,2007,2009,7,22,2,19.58,79.07,8.55,13.24,33.1,20.3068953806336,19.0609548554106
1404,8L19633,976,2,23,24,24,2007,2008,6,27,1,19.43,76.07,8.1,14.34,31.9,-99,-99
1404,8L19633,976,2,23,24,24,2007,2009,7,2,2,19.58,79.07,7.73,14.17,31.3,-99,-99
1404,8L19633,976,2,23,24,24,2007,2010,8,1,3,19.64,78.85,7.8,13.62,30.3,-99,-99
1407,8L19656,977,2,24,24,24,2006,2007,7,22,1,20.71,80.07,8.85,13.66,35.6,-99,-99
