IID FROH FGRM gen_het pruned_gen_het adsex fiflok laflok hatchyear presumedhatchyear firstyear lastyear minadyear maxadyear age1tarsus age1wing age1billD age1billL age1mass age1totba age1visba
8651621 0.00306087056518209 0.0114262 0.336670603689027 0.336512112243779 2 20 20 1996 NA 1996 2000 1997 2000 NA NA NA NA NA NA NA
8651656 0.0059975302107563 0.00785309 0.337478298371134 0.337768766104845 1 28 28 1996 NA 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651658 0.010260698639692 0.0124524 0.339534626956306 0.335914109084162 1 28 28 1996 NA 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651665 0.00953262785728566 0.0222696 0.33730904428183 0.336438337654441 1 28 28 NA 1996 1996 2001 1997 2001 NA NA NA NA NA NA NA
8651695 0.0105091204789078 0.00785652 0.335400365549954 0.335490239087519 2 27 27 1996 NA 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651701 0 -0.0451447 0.353243818362232 0.35940675058718 1 27 27 NA 1995 1995 1998 1996 1998 NA NA NA NA NA NA NA
8651728 0.00750699403781027 0.0185268 0.340350354163561 0.338224504768892 1 20 20 1996 NA 1996 2000 1997 2000 NA NA NA NA NA NA NA
8651730 0 0.00491056 0.346546417104616 0.342856419218398 1 20 20 1996 NA 1996 2001 1997 2001 NA NA NA NA NA NA NA
8651738 0 -0.118504 0.376577921926406 0.377361685441323 1 28 28 NA 1996 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651743 0.00219476092923279 0.0201196 0.341355525980086 0.338806574639711 1 27 27 1996 NA 1996 1999 1997 1999 NA NA NA NA NA NA NA
8651754 0.0160733061956031 0.020769 0.334904461414347 0.334186020987936 1 27 27 NA 1996 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651761 0.17447791897574 0.223052 0.263535551206784 0.260764499121265 1 28 28 1996 NA 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651804 0.00400294092280307 0.0263177 0.337401090011541 0.335121819531619 2 26 26 1996 NA 1996 1999 1997 1999 NA NA NA NA NA NA NA
8651842 0.00522211651777862 0.00304113 0.344424266844769 0.339829979590804 2 28 27 1996 NA 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651860 0.00742445274994974 0.0255454 0.330036617879703 0.331648308917386 1 27 27 1996 NA 1996 1999 1997 1999 NA NA NA NA NA NA NA
8651868 0.0296885195026885 0.0546761 0.324702086636576 0.32352494302355 2 27 27 NA 1996 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651869 0.00262611594979487 0.0112846 0.340670390444146 0.339491058914912 2 27 27 NA 1996 1996 1998 1997 1998 NA NA NA NA NA NA NA
